learning_rate,epochs,hidden_layers,activation,optimizer,validation_mse,validation_rmse,validation_R-squared
0.001,50,"[10, 20, 30, 20, 10]",relu,mini-batch,[36.27160673],[6.02259136],[0.57704215]
0.001,50,"[10, 20, 30, 20, 10]",relu,sgd,[26.2833009],[5.12672419],[0.69351431]
0.001,50,"[10, 20, 30, 20, 10]",relu,batch,[85.45119444],[9.24398153],[0.00356623]
0.01,50,"[10, 20, 30, 20, 10]",relu,mini-batch,[43.01635122],[6.55868517],[0.49839268]
0.01,50,"[10, 20, 30, 20, 10]",relu,sgd,[87.09069909],[9.33223977],[-0.01555179]
0.01,50,"[10, 20, 30, 20, 10]",relu,batch,[76.82258764],[8.76484955],[0.10418314]
0.001,50,"[10, 20, 10]",relu,mini-batch,[31.81194983],[5.64020831],[0.62904555]
0.001,50,"[10, 20, 10]",relu,sgd,[26.07104155],[5.10598096],[0.69598943]
0.001,50,"[10, 20, 10]",relu,batch,[58.80674867],[7.66855584],[0.31426318]
0.01,50,"[10, 20, 10]",relu,mini-batch,[28.13070099],[5.30383833],[0.67197205]
0.01,50,"[10, 20, 10]",relu,sgd,[87.97918629],[9.37972208],[-0.02591231]
0.01,50,"[10, 20, 10]",relu,batch,[36.97569033],[6.08076396],[0.56883193]
0.001,100,"[10, 20, 30, 20, 10]",relu,mini-batch,[33.71809081],[5.80672806],[0.60681832]
0.001,100,"[10, 20, 30, 20, 10]",relu,sgd,[16.68536237],[4.08477201],[0.80543445]
0.001,100,"[10, 20, 30, 20, 10]",relu,batch,[76.93740352],[8.7713969],[0.10284429]
0.01,100,"[10, 20, 30, 20, 10]",relu,mini-batch,[44.77535947],[6.69143927],[0.47788114]
0.01,100,"[10, 20, 30, 20, 10]",relu,sgd,[87.09069909],[9.33223977],[-0.01555179]
0.01,100,"[10, 20, 30, 20, 10]",relu,batch,[39.21940832],[6.26254008],[0.54266827]
0.001,100,"[10, 20, 10]",relu,mini-batch,[28.77223093],[5.36397529],[0.66449126]
0.001,100,"[10, 20, 10]",relu,sgd,[20.05633205],[4.47842964],[0.76612607]
0.001,100,"[10, 20, 10]",relu,batch,[38.9450144],[6.24059407],[0.54586794]
0.01,100,"[10, 20, 10]",relu,mini-batch,[29.17261206],[5.40116766],[0.65982248]
0.01,100,"[10, 20, 10]",relu,sgd,[86.69617903],[9.3110783],[-0.01095135]
0.01,100,"[10, 20, 10]",relu,batch,[36.97569033],[6.08076396],[0.56883193]
0.001,150,"[10, 20, 30, 20, 10]",relu,mini-batch,[30.30217157],[5.50474083],[0.64665085]
0.001,150,"[10, 20, 30, 20, 10]",relu,sgd,[16.49354859],[4.06122501],[0.80767116]
0.001,150,"[10, 20, 30, 20, 10]",relu,batch,[54.60060358],[7.38922212],[0.36331042]
0.01,150,"[10, 20, 30, 20, 10]",relu,mini-batch,[30.26269634],[5.50115409],[0.64711116]
0.01,150,"[10, 20, 30, 20, 10]",relu,sgd,[86.56507676],[9.30403551],[-0.00942258]
0.01,150,"[10, 20, 30, 20, 10]",relu,batch,[34.2526508],[5.85257642],[0.60058489]
0.001,150,"[10, 20, 10]",relu,mini-batch,[28.7994932],[5.36651593],[0.66417336]
0.001,150,"[10, 20, 10]",relu,sgd,[20.39935538],[4.51656456],[0.76212613]
0.001,150,"[10, 20, 10]",relu,batch,[33.02319531],[5.74658118],[0.61492139]
0.01,150,"[10, 20, 10]",relu,mini-batch,[28.86113839],[5.37225636],[0.66345452]
0.01,150,"[10, 20, 10]",relu,sgd,[86.69617903],[9.3110783],[-0.01095135]
0.01,150,"[10, 20, 10]",relu,batch,[32.77394082],[5.72485291],[0.61782791]
0.001,200,"[10, 20, 30, 20, 10]",relu,mini-batch,[25.99701585],[5.09872689],[0.69685264]
0.001,200,"[10, 20, 30, 20, 10]",relu,sgd,[16.49354859],[4.06122501],[0.80767116]
0.001,200,"[10, 20, 30, 20, 10]",relu,batch,[38.20515021],[6.18103148],[0.55449538]
0.01,200,"[10, 20, 30, 20, 10]",relu,mini-batch,[28.58739071],[5.34671775],[0.66664666]
0.01,200,"[10, 20, 30, 20, 10]",relu,sgd,[86.56507676],[9.30403551],[-0.00942258]
0.01,200,"[10, 20, 30, 20, 10]",relu,batch,[32.80046924],[5.72716939],[0.61751857]
0.001,200,"[10, 20, 10]",relu,mini-batch,[27.22983926],[5.21822185],[0.68247686]
0.001,200,"[10, 20, 10]",relu,sgd,[19.78132766],[4.44762045],[0.76933286]
0.001,200,"[10, 20, 10]",relu,batch,[31.06296059],[5.57341552],[0.6377794]
0.01,200,"[10, 20, 10]",relu,mini-batch,[26.60825988],[5.15831948],[0.68972501]
0.01,200,"[10, 20, 10]",relu,sgd,[86.69617903],[9.3110783],[-0.01095135]
0.01,200,"[10, 20, 10]",relu,batch,[32.05552096],[5.66175953],[0.6262053]
0.001,250,"[10, 20, 30, 20, 10]",relu,mini-batch,[24.57733976],[4.95755381],[0.71340727]
0.001,250,"[10, 20, 30, 20, 10]",relu,sgd,[23.27283262],[4.82419243],[0.72861893]
0.001,250,"[10, 20, 30, 20, 10]",relu,batch,[32.55185727],[5.7054235],[0.6204176]
0.01,250,"[10, 20, 30, 20, 10]",relu,mini-batch,[27.64438728],[5.257793],[0.67764288]
0.01,250,"[10, 20, 30, 20, 10]",relu,sgd,[86.70043692],[9.31130694],[-0.011001]
0.01,250,"[10, 20, 30, 20, 10]",relu,batch,[31.32890751],[5.5972232],[0.63467823]
0.001,250,"[10, 20, 10]",relu,mini-batch,[24.65144676],[4.96502233],[0.71254312]
0.001,250,"[10, 20, 10]",relu,sgd,[18.59088575],[4.31171494],[0.78321443]
0.001,250,"[10, 20, 10]",relu,batch,[30.34917302],[5.50900835],[0.64610277]
0.01,250,"[10, 20, 10]",relu,mini-batch,[26.60825988],[5.15831948],[0.68972501]
0.01,250,"[10, 20, 10]",relu,sgd,[86.69617903],[9.3110783],[-0.01095135]
0.01,250,"[10, 20, 10]",relu,batch,[31.04340954],[5.57166129],[0.63800738]
0.001,50,"[10, 20, 30, 20, 10]",tanh,mini-batch,[87.63214532],[9.36120427],[-0.02186551]
0.001,50,"[10, 20, 30, 20, 10]",tanh,sgd,[87.09327617],[9.33237784],[-0.01558184]
0.001,50,"[10, 20, 30, 20, 10]",tanh,batch,[276.9647661],[16.64225844],[-2.22964526]
0.01,50,"[10, 20, 30, 20, 10]",tanh,mini-batch,[86.43462776],[9.29702252],[-0.00790144]
0.01,50,"[10, 20, 30, 20, 10]",tanh,sgd,[86.79931294],[9.31661489],[-0.01215398]
0.01,50,"[10, 20, 30, 20, 10]",tanh,batch,[86.33050136],[9.29142085],[-0.00668723]
0.001,50,"[10, 20, 10]",tanh,mini-batch,[89.06969381],[9.43767417],[-0.03862855]
0.001,50,"[10, 20, 10]",tanh,sgd,[19.69483228],[4.43788601],[0.77034147]
0.001,50,"[10, 20, 10]",tanh,batch,[330.38554839],[18.1765109],[-2.85257712]
0.01,50,"[10, 20, 10]",tanh,mini-batch,[42.79493561],[6.54178383],[0.50097457]
0.01,50,"[10, 20, 10]",tanh,sgd,[56.65310016],[7.52682537],[0.33937656]
0.01,50,"[10, 20, 10]",tanh,batch,[86.13172844],[9.2807181],[-0.00436937]
0.001,100,"[10, 20, 30, 20, 10]",tanh,mini-batch,[86.36256425],[9.29314609],[-0.00706112]
0.001,100,"[10, 20, 30, 20, 10]",tanh,sgd,[29.35757396],[5.418263],[0.65766566]
0.001,100,"[10, 20, 30, 20, 10]",tanh,batch,[145.9396003],[12.08054636],[-0.70178014]
0.01,100,"[10, 20, 30, 20, 10]",tanh,mini-batch,[86.99696377],[9.32721629],[-0.01445875]
0.01,100,"[10, 20, 30, 20, 10]",tanh,sgd,[86.79931294],[9.31661489],[-0.01215398]
0.01,100,"[10, 20, 30, 20, 10]",tanh,batch,[86.69477297],[9.31100279],[-0.01093495]
0.001,100,"[10, 20, 10]",tanh,mini-batch,[86.20608655],[9.28472329],[-0.00523645]
0.001,100,"[10, 20, 10]",tanh,sgd,[21.16688863],[4.6007487],[0.75317604]
0.001,100,"[10, 20, 10]",tanh,batch,[168.28531726],[12.97248308],[-0.96235025]
0.01,100,"[10, 20, 10]",tanh,mini-batch,[28.20641869],[5.31097154],[0.67108911]
0.01,100,"[10, 20, 10]",tanh,sgd,[50.62558755],[7.11516602],[0.4096625]
0.01,100,"[10, 20, 10]",tanh,batch,[85.82669315],[9.2642697],[-0.0008124]
0.001,150,"[10, 20, 30, 20, 10]",tanh,mini-batch,[86.42451059],[9.2964784],[-0.00778346]
0.001,150,"[10, 20, 30, 20, 10]",tanh,sgd,[31.72987885],[5.63292809],[0.63000257]
0.001,150,"[10, 20, 30, 20, 10]",tanh,batch,[102.19150986],[10.10898164],[-0.19164011]
0.01,150,"[10, 20, 30, 20, 10]",tanh,mini-batch,[86.90560139],[9.32231738],[-0.01339339]
0.01,150,"[10, 20, 30, 20, 10]",tanh,sgd,[68.5288864],[8.27821759],[0.20089477]
0.01,150,"[10, 20, 30, 20, 10]",tanh,batch,[86.69565959],[9.3110504],[-0.01094529]
