Hidden Layers,Learning Rate,Batch Size,Epochs,val_Accuracy,val_Precision,val_Recall,val_F1_Score,val_Hamming_Loss,train_Accuracy,train_Hamming_Loss
"[64, 64]",0.01,100,100,0.0,0.32440476105276833,0.028787124647470262,0.05288162274586722,0.33055555555555555,0.005555555555555556,0.3421875
"[64, 128, 64]",0.001,50,50,0.005555555555555556,0.40808150127099885,0.07338581009113511,0.12440051577853196,0.3368055555555556,0.008333333333333333,0.36006944444444444
"[64, 64]",0.01,100,100,0.0,0.26255198992422235,0.04154622571700659,0.07174026887424294,0.3368055555555556,0.006944444444444444,0.3472222222222222
"[64, 128, 64]",0.001,50,50,0.005555555555555556,0.2745088031871977,0.062425223416735384,0.1017188618967884,0.36319444444444443,0.009722222222222222,0.3605902777777778
"[64, 64]",0.01,100,100,0.0,0.17202380915316043,0.016379998760455663,0.029911811893213108,0.3347222222222222,0.004166666666666667,0.34756944444444443
"[64, 128, 64]",0.001,50,50,0.0,0.29099821710491414,0.06076725827761239,0.10053950459585044,0.3541666666666667,0.005555555555555556,0.35711805555555554
"[64, 64]",0.01,100,30,0.0,0.35833333167960074,0.03071492001907921,0.05658002210138889,0.33611111111111114,0.004166666666666667,0.3536458333333333
"[64, 128, 64]",0.001,50,80,0.0,0.23012820483004293,0.043952226864415925,0.07380787190839758,0.34791666666666665,0.001388888888888889,0.35625
"[64, 64]",0.01,100,30,0.0,0.20427489152496944,0.03056574295344521,0.05317489943074159,0.3368055555555556,0.005555555555555556,0.35572916666666665
"[64, 128, 64]",0.001,50,80,0.011111111111111112,0.23976023952962083,0.056558477874686736,0.09152627187253859,0.3506944444444444,0.011111111111111112,0.35625
"[64, 64]",0.01,100,30,0.005555555555555556,0.3983974346173652,0.03301333103250224,0.06097402816009973,0.3326388888888889,0.004166666666666667,0.35347222222222224
"[64, 128, 64]",0.001,50,80,0.0,0.3056808385083979,0.06836293725301518,0.11173686492269731,0.3451388888888889,0.006944444444444444,0.3614583333333333
