learning_rate,epochs,hidden_layers,activation,optimizer,validation_loss,validation_accuracy,f1_score,precision,recall
0.001,100,"[32, 32]",relu,mini-batch,1.0241364480546327,0.6052631578947368,0.32483678593848087,0.33999999999999997,0.32352670474540485
0.001,100,"[32, 32]",relu,sgd,1.1484271908289072,0.6052631578947368,0.3422138609054497,0.35676624400028656,0.33704014509623453
0.001,100,"[32, 32]",relu,batch,2.171596115220505,0.22807017543859648,0.12255344775669978,0.139484311898105,0.13503514613392528
0.01,100,"[32, 32]",relu,mini-batch,1.137405184519275,0.5964912280701754,0.338417274902329,0.35327329902801596,0.33326656019057416
0.01,100,"[32, 32]",relu,sgd,1.9946303964858012,0.6929824561403509,0.4288039867109634,0.4344444444444445,0.4249316477626485
0.01,100,"[32, 32]",relu,batch,1.217417769569279,0.5263157894736842,0.28191349934469195,0.28777286543243996,0.2826777834925963
0.001,100,"[32, 64, 64, 32]",relu,mini-batch,1.0471003240389694,0.6228070175438597,0.3557457003508171,0.3611325611325611,0.3550472374868033
0.001,100,"[32, 64, 64, 32]",relu,sgd,1.4716896464162752,0.6140350877192983,0.3487266389744226,0.3499438454627134,0.34770038710376
0.001,100,"[32, 64, 64, 32]",relu,batch,1.5456648583067565,0.35964912280701755,0.17724941724941726,0.18343606764659398,0.17485720473186975
0.01,100,"[32, 64, 64, 32]",relu,mini-batch,1.5932173897101973,0.5526315789473685,0.33999926424603605,0.3333149476006619,0.35461411439863566
0.01,100,"[32, 64, 64, 32]",relu,sgd,2.7433379744205006,0.6403508771929824,0.3935598872980277,0.4048632218844985,0.38630789637530116
0.01,100,"[32, 64, 64, 32]",relu,batch,1.1481869786650183,0.5701754385964912,0.29545898359343736,0.31259398496240604,0.2990769064183428
0.001,200,"[32, 32]",relu,mini-batch,1.0169081931372503,0.6491228070175439,0.3746203346203346,0.38193819011782126,0.3718903115779216
0.001,200,"[32, 32]",relu,sgd,1.4047447741423498,0.6228070175438597,0.36658645202334517,0.396,0.3547873636339027
0.001,200,"[32, 32]",relu,batch,1.7450502580150256,0.2982456140350877,0.14040031397174255,0.1587195484254308,0.15537388448246303
0.01,200,"[32, 32]",relu,mini-batch,1.3968335525227609,0.6403508771929824,0.37827311577311573,0.42045674132630656,0.36564792506970567
0.01,200,"[32, 32]",relu,sgd,3.1748462801605704,0.6228070175438597,0.39109661437428944,0.40370370370370373,0.3812295281665358
0.01,200,"[32, 32]",relu,batch,1.1269749357539918,0.5701754385964912,0.2999579831932773,0.30493066255778123,0.3015457080208982
0.001,200,"[32, 64, 64, 32]",relu,mini-batch,1.099477588592359,0.6491228070175439,0.366228024149824,0.36890894175553735,0.36610811835088386
0.001,200,"[32, 64, 64, 32]",relu,sgd,2.5444521603741235,0.631578947368421,0.37833188848838806,0.39403377630121816,0.3654476056414282
0.001,200,"[32, 64, 64, 32]",relu,batch,1.4035661316065333,0.5175438596491229,0.2437478934951129,0.24681238615664847,0.25272190790720334
0.01,200,"[32, 64, 64, 32]",relu,mini-batch,2.7670142166500833,0.5877192982456141,0.3530128256836331,0.35616013071895425,0.35457080208981895
0.01,200,"[32, 64, 64, 32]",relu,sgd,3.536342784970573,0.6842105263157895,0.4151267226646304,0.4306794871794872,0.4062802847784305
0.01,200,"[32, 64, 64, 32]",relu,batch,1.07918032084186,0.5964912280701754,0.3170093759451557,0.3392857142857143,0.3161798543623616
0.001,100,"[32, 32]",tanh,mini-batch,0.973341553866431,0.631578947368421,0.35999494758115447,0.37082051282051287,0.3574564846647356
0.001,100,"[32, 32]",tanh,sgd,0.9767048925177075,0.5964912280701754,0.35472210741945337,0.3708333333333333,0.3503532660187867
0.001,100,"[32, 32]",tanh,batch,1.9591000933062865,0.21052631578947367,0.1320855614973262,0.17476365546218486,0.112449581765518
0.01,100,"[32, 32]",tanh,mini-batch,0.9748274955915379,0.5964912280701754,0.35472210741945337,0.3708333333333333,0.3503532660187867
0.01,100,"[32, 32]",tanh,sgd,1.872416045608218,0.6666666666666666,0.4014712643678161,0.42242225859247134,0.392950921740072
0.01,100,"[32, 32]",tanh,batch,1.3769758484842742,0.4824561403508772,0.23342252803261976,0.24225382003395582,0.2544913961903215
0.001,100,"[32, 64, 64, 32]",tanh,mini-batch,0.9309059728400089,0.6140350877192983,0.3253606672696211,0.34814814814814815,0.3248314880485098
0.001,100,"[32, 64, 64, 32]",tanh,sgd,1.3066140858572137,0.6228070175438597,0.3697549019607843,0.37306122448979595,0.36966514171246045
0.001,100,"[32, 64, 64, 32]",tanh,batch,1.8425338370788398,0.21929824561403508,0.15106599028733134,0.225,0.12593504958357019
0.01,100,"[32, 64, 64, 32]",tanh,mini-batch,1.3294281490129936,0.6140350877192983,0.35829386299974536,0.3534954407294833,0.36478709293197265
0.01,100,"[32, 64, 64, 32]",tanh,sgd,2.289651926717834,0.6578947368421053,0.4070047503649851,0.4320481268799563,0.3960639939362768
0.01,100,"[32, 64, 64, 32]",tanh,batch,1.2028678547919447,0.5701754385964912,0.2735473178329914,0.2773411623005119,0.27034550589679035
0.001,200,"[32, 32]",tanh,mini-batch,0.9500033053852551,0.6403508771929824,0.3665010351966874,0.38323049499520084,0.36233453344522343
0.001,200,"[32, 32]",tanh,sgd,1.061138248782495,0.6403508771929824,0.3809709561161755,0.39058417997097244,0.3772123115237812
0.001,200,"[32, 32]",tanh,batch,1.8556452061604478,0.24561403508771928,0.14170054146399502,0.17708333333333334,0.12594858468007544
0.01,200,"[32, 32]",tanh,mini-batch,1.0630308241971944,0.6491228070175439,0.3853968253968254,0.39505494505494504,0.382090360304269
0.01,200,"[32, 32]",tanh,sgd,2.4538940344083757,0.6578947368421053,0.40247758012481205,0.41369047619047616,0.3960639939362768
0.01,200,"[32, 32]",tanh,batch,1.165233471096347,0.5789473684210527,0.3126934984520124,0.3111502961840474,0.316883679380634
0.001,200,"[32, 64, 64, 32]",tanh,mini-batch,0.9218133242138216,0.6403508771929824,0.36941565133054494,0.3945320014798372,0.3634389973200508
0.001,200,"[32, 64, 64, 32]",tanh,sgd,2.0838078540584015,0.6140350877192983,0.37428478331704135,0.39535809018567636,0.37030941230610975
0.001,200,"[32, 64, 64, 32]",tanh,batch,1.686790340741376,0.3333333333333333,0.18972299454227162,0.23926767676767677,0.1647582180594281
0.01,200,"[32, 64, 64, 32]",tanh,mini-batch,2.04946068131106,0.6140350877192983,0.37428478331704135,0.39535809018567636,0.37030941230610975
0.01,200,"[32, 64, 64, 32]",tanh,sgd,2.633626110488439,0.6403508771929824,0.33002846528682395,0.3489297038719375,0.32468440666648624
0.01,200,"[32, 64, 64, 32]",tanh,batch,1.059484639384557,0.6403508771929824,0.3565193100076821,0.3759386973180077,0.3510300208440486
0.001,100,"[32, 32]",sigmoid,mini-batch,1.0907952283853086,0.5,0.20992771084337347,0.19206349206349208,0.23387022549470776
0.001,100,"[32, 32]",sigmoid,sgd,0.9353425764347921,0.6491228070175439,0.359871261840131,0.3783333333333333,0.3559080696245364
0.001,100,"[32, 32]",sigmoid,batch,1.9956431125778882,0.017543859649122806,0.021061029118468293,0.03518518518518519,0.21176470588235294
0.01,100,"[32, 32]",sigmoid,mini-batch,0.9343181171237814,0.6491228070175439,0.359871261840131,0.3783333333333333,0.3559080696245364
0.01,100,"[32, 32]",sigmoid,sgd,0.9717389182014826,0.6140350877192983,0.35094379415796684,0.36107660455486545,0.34770038710376
0.01,100,"[32, 32]",sigmoid,batch,1.2271217469314768,0.4298245614035088,0.1702012303200917,0.16212624584717608,0.19595029912563275
0.001,100,"[32, 64, 64, 32]",sigmoid,mini-batch,1.1392250446784826,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
0.001,100,"[32, 64, 64, 32]",sigmoid,sgd,1.0337307309981991,0.6140350877192983,0.2624109432886862,0.23964194373401532,0.29065807639208463
0.001,100,"[32, 64, 64, 32]",sigmoid,batch,1.6586343510173207,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
0.01,100,"[32, 64, 64, 32]",sigmoid,mini-batch,1.0304054269674354,0.5877192982456141,0.24838709677419354,0.22725188339338356,0.27602393005062126
0.01,100,"[32, 64, 64, 32]",sigmoid,sgd,0.9471376558576392,0.6403508771929824,0.36915588052588166,0.3682894736842105,0.37168999214964404
0.01,100,"[32, 64, 64, 32]",sigmoid,batch,1.230976403616948,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
0.001,200,"[32, 32]",sigmoid,mini-batch,1.037997868250014,0.5614035087719298,0.24137931034482757,0.22035480859010273,0.266912103083295
0.001,200,"[32, 32]",sigmoid,sgd,0.9261710768106574,0.6140350877192983,0.34261978934876136,0.3555761698618841,0.3397092661270675
0.001,200,"[32, 32]",sigmoid,batch,1.736254323628617,0.10526315789473684,0.09154612664738028,0.10882352941176472,0.12519422863485016
0.01,200,"[32, 32]",sigmoid,mini-batch,0.9258056146775306,0.6140350877192983,0.34261978934876136,0.3555761698618841,0.3397092661270675
0.01,200,"[32, 32]",sigmoid,sgd,1.0706274142122156,0.5964912280701754,0.3290688259109312,0.35228758169934643,0.326379903088709
0.01,200,"[32, 32]",sigmoid,batch,1.1674583015178437,0.4298245614035088,0.17745613165460494,0.16452991452991453,0.19926369075011502
0.001,200,"[32, 64, 64, 32]",sigmoid,mini-batch,1.134919910929573,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
0.001,200,"[32, 64, 64, 32]",sigmoid,sgd,0.9396951235793187,0.6491228070175439,0.35561529271206693,0.39964035964035965,0.35012587639749876
0.001,200,"[32, 64, 64, 32]",sigmoid,batch,1.5314501851055053,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
0.01,200,"[32, 64, 64, 32]",sigmoid,mini-batch,0.9367521572145419,0.6578947368421053,0.35920090413508843,0.4026610644257703,0.3538994613031591
0.01,200,"[32, 64, 64, 32]",sigmoid,sgd,1.015092089671601,0.6228070175438597,0.34899601946041575,0.3634370920085206,0.3479007065320376
0.01,200,"[32, 64, 64, 32]",sigmoid,batch,1.178807356151177,0.4649122807017544,0.12694610778443113,0.09298245614035087,0.2
